,Unnamed: 0,name,type,industry,monitization,selling_method,site_age_in_years,net_profit_in_dollar_per_month,price_in_dollars
631,631,toptrampolinestested.com,Content,Home and Garden,Affiliate Sales,Site Age,4,8.0,1000
632,632,amiqae.com,Content,Health and Beauty,Adsense,Site Age,2,52.0,4100
633,633,PoochStar,Content,Home and Garden,Ads,Site Age,2,20.0,2500
634,634,autosavvy101.com,Content,Automotive,Ads,Site Age,5,83.0,20000
635,635,NS Digital World,Content,Internet,Ads,Site Age,1,10.0,1000
636,636,The Royal Charter,Content,Entertainment,Affiliate Sales,Site Age,2,83.0,4500
637,637,howwritecv.com,Content,Business,Adsense,Site Age,5,249.0,5000
638,638,DESIGNDEV BITS,Content,Design and Style,Ads,Site Age,1,43.0,155
639,639,americanexpressconfirmcard.site,Content,Business,Adsense,Site Age,3,17.0,2000
640,640,blabboo.com,Content,Entertainment,Adsense,Site Age,2,19.0,3500
641,641,itsbanter.com,Content,Entertainment,Ads,Site Age,4,,4900
642,642,Daily Celebrity Hub | Latest Entertainment News,Content,Entertainment,Affiliate Sales,Site Age,1,33.0,400
643,643,Buytechforkids.co.uk,Content,Electronics,Affiliate Sales,Site Age,3,2.0,728
644,644,globalgarage.org,Content,Automotive,Affiliate Sales,Site Age,6,4.0,2500
645,645,7 Days to Drink Less,Content,Health and Beauty,Affiliate Sales,Site Age,1,26.0,250
646,646,terrariumtv-apk.com,Content,Entertainment,Adsense,Site Age,3,48.0,4000
647,647,bestpinch.com,Content,General Knowledge,Amazon,Site Age,2,2.0,500
648,648,https://knowledgetweak.com/,Content,General Knowledge,Ads,Site Age,2,21.0,350
649,649,infobaby.org,Content,Lifestyle,Adsense,Site Age,7,9.0,5000
650,650,piklertriangle.info,Content,Home and Garden,Adsense,Site Age,2,3.0,2500
651,651,onlinewealthvillage.com,Content,Internet,Subscription,Site Age,2,73.0,4000
652,652,todayshealthnutritionsecrets.com,Content,Health and Beauty,Affiliate Sales,Site Age,5,42.0,200
653,653,AgentMile.com + AgentTrend.com + AgentGrow.com,Content,Home and Garden,Service Subscription,Site Age,5,66.0,3870
654,654,chemwifi.com,Content,Education,Ads,Site Age,4,5.0,14999
655,655,talkingotc.com,Content,Business,Adsense,Site Age,2,1.0,3000
656,656,Tech Tastes,Content,Electronics,Affiliate Sales,Site Age,2,23.0,2500
657,657,beginner-bitcoin.com,Ecommerce,Business,Ecommerce,Site Age,2,4.0,2800
658,658,AttentionCrypto.com,Content,Internet,Affiliate Sales,Site Age,1,60.0,699
659,659,Ideal Drone Zone,Content,Electronics,Affiliate Sales,Site Age,2,,1
660,660,boosterbatterie,Content,Electronics,Affiliate Sales,Site Age,5,221.0,10000
661,661,Auto Decor Hyderabad,Content,Automotive,Affiliate Sales,Site Age,1,5.0,105
662,662,mynewsspot.com,Content,Internet,Affiliate Sales,Site Age,4,58.0,689
663,663,storiesmag.com,Content,Internet,Ads,Site Age,4,83.0,6000
664,664,stabilisateurgopro,Content,Electronics,Affiliate Sales,Site Age,6,21.0,1000
665,665,Digest Time,Content,Business,Ads,Site Age,1,171.0,592
666,666,Get Ex Back For Good,Content,Lifestyle,Affiliate Sales,Site Age,4,,797
667,667,Expertos del Ahorro,Content,Business,Affiliate Sales,Site Age,3,16.0,5000
668,668,Yuksekhome,Content,Home and Garden,Affiliate Sales,Site Age,4,22.0,2500
669,669,quotetastrophe.com,Content,Design and Style,Adsense,Site Age,2,4.0,10000
670,670,CONFIDENTIAL,Content,Health and Beauty,Adsense,Site Age,9,62.0,15000
671,671,Zenith Novels,Content,Business,Ads,Site Age,5,875.0,250
672,672,Bluetti Max Solar Power,Content,Home and Garden,Affiliate Sales,Site Age,2,63.0,890
673,673,Snug Sharks,Ecommerce,Design and Style,Dropship,Site Age,1,33.0,720
674,674,premme.us,Content,Design and Style,Adsense,Site Age,2,879.0,50000
675,675,Kisscartoon,Content,Entertainment,Ads,Site Age,1,192.0,1000
676,676,usautoauthority.com,Content,Automotive,Affiliate Sales,Site Age,5,8.0,2500
677,677,muscle-war.com,Content,Health and Beauty,Affiliate Sales,Site Age,4,42.0,1995
678,678,MechSudies,Content,Education,Ads,Site Age,1,115.0,20000
679,679,customersurvey.expert,Content,Internet,Ads,Site Age,5,152.0,1000
680,680,iresumecoverletter.com,Content,Business,Ads,Site Age,6,5.0,1500
681,681,Sports Today Live,Content,Sports and Outdoor,Affiliate Sales,Site Age,1,1.0,30
682,682,appleblog.info,Blog,Electronics,Adsense,Site Age,4,2.0,20000
683,683,Your Personal Finance Site,Content,Business,Affiliate Sales,Site Age,6,,3500
684,684,shakenmix.com,Ecommerce,Electronics,Dropship,Site Age,1,815.0,1800
685,685,ecomweekly.co,Content,General Knowledge,Ads,Site Age,2,12.0,4000
686,686,Twig Heaven,Content,Sports and Outdoor,Affiliate Sales,Site Age,7,2563.0,17000
687,687,kayakfishinguru.com - 880 ahref Ranked Keywords!,Content,Sports and Outdoor,Affiliate Sales,Site Age,1,2.0,10000
688,688,comparisonandsave.com,Content,Business,Ads,Site Age,1,1.0,1000
689,689,Jewish News Review,Content,General Knowledge,Ads,Site Age,1,1.0,8000
690,690,jobdescriptionshub.com,Content,Business,Ads,Site Age,6,5.0,1250
691,691,Manga Thrill,Content,Entertainment,Ads,Site Age,4,130.0,6000
692,692,The Simple Dad,Content,Lifestyle,Ads,Site Age,10,,1151
693,693,MylkMuscle,Content,Health and Beauty,Affiliate Sales,Site Age,1,1.0,750
694,694,Shop,Content,Business,Service Subscription,Site Age,5,1675.0,100
695,695,Okinawa Flat Belly Tonic,Content,Health and Beauty,Affiliate Sales,Site Age,1,13.0,180
696,696,scam-detectors.com,Content,Internet,Affiliate Sales,Site Age,1,197.0,1500
697,697,Rockmusicbox,Content,Entertainment,Affiliate Sales,Site Age,1,,2999
698,698,ohideas.net,Content,Design and Style,Ads,Site Age,12,480.0,10000
699,699,Fumettifilms.com,Content,Hobbies and Games,Ads,Site Age,1,50.0,1
700,700,Musafir Cuisine,Content,Food and Drink,Affiliate Sales,Site Age,1,,17000
701,701,brazilianwaxguide.com,Content,Health and Beauty,Affiliate Sales,Site Age,4,42.0,5000
702,702,xn--isral-qsa.net,Content,General Knowledge,,Site Age,3,,8000
703,703,ti-esti,Content,Education,Ads,Site Age,3,69.0,150
704,704,The Black Book,Content,Entertainment,Service Subscription,Site Age,5,8.0,200
705,705,smartrefrigerator.net,Content,Home and Garden,Affiliate Sales,Site Age,3,,50
706,706,FiveStarFlutes.com,Content,Entertainment,Affiliate Sales,Site Age,1,5.0,5
707,707,guestfriendlyhotelsthailand.com,Content,Travel,Affiliate Sales,Site Age,4,9.0,3500
